epoch,accuracy,loss,val_accuracy,val_loss
0,0.8956585,0.38825228735804557,0.876434326171875,0.21141208708286285
1,0.871537,0.28105841148644684,0.8876953125,0.1930990219116211
0,0.9016918,0.20886188857257365,0.876361072063446,0.14021086692810059
1,0.8746513,0.22903573531657456,0.9105941653251648,0.1328544020652771
0,0.9117306,0.18690168149769307,0.9068450927734375,0.10316932201385498
1,0.9021801,0.2033671172335744,0.9128357172012329,0.1282043308019638
0,0.92493474,0.17038087286055087,0.91864013671875,0.09393534809350967
1,0.9017452,0.22653767075389625,0.8877166509628296,0.20947642624378204
0,0.929747,0.16403906550258399,0.9228378534317017,0.08855904638767242
1,0.9203064,0.18290553092956544,0.9162826538085938,0.09237615764141083
0,0.93078536,0.16159732863307,0.9209747314453125,0.08839106559753418
1,0.9177567,0.1845402019098401,0.9120635986328125,0.10370568931102753
0,0.9349785,0.15447172056883574,0.9292404055595398,0.08092275261878967
1,0.92195016,0.18108553849160672,0.9187911748886108,0.09444808959960938
0,0.93691444,0.1528068844228983,0.930450439453125,0.0850832387804985
1,0.9209587,0.18263291642069818,0.9122787714004517,0.10768912732601166
0,0.94232404,0.14464264661073684,0.9388152956962585,0.07479196786880493
1,0.9189285,0.18386419415473937,0.9260116815567017,0.12416404485702515
0,0.88209724,0.2573722511529922,0.9032699465751648,0.1075126901268959
1,0.87685317,0.2409648371860385,0.8356353640556335,0.402751624584198
0,0.90576136,0.19874953534454107,0.9032699465751648,0.09580179303884506
1,0.88115156,0.22951652575284243,0.8756210207939148,0.3570718765258789
0,0.9118408,0.19316422436386346,0.903277575969696,0.09669600427150726
1,0.88974,0.22115285005420446,0.8999984860420227,0.3205576539039612
0,0.91472626,0.1888159431517124,0.9032760858535767,0.09817049652338028
1,0.8922737,0.21526321209967136,0.9047943353652954,0.3076521158218384
0,0.9177723,0.18216767087578772,0.9061508178710938,0.1015787422657013
1,0.90103453,0.2096902634948492,0.9121856689453125,0.2445804327726364
